Date,Open,High,Low,Close,Volume,
04/13/2026,78.46,80.56,78.19,80.19,686.08K,
04/10/2026,79.75,79.97,78.56,78.98,383.07K,
04/09/2026,78.15,79.95,77.65,79.75,577.36K,
04/08/2026,77.48,79.59,77.19,78.65,655.81K,
04/07/2026,75.1,75.99,74.11,74.33,965.62K,
04/06/2026,72.92,75.2,72.92,75.17,534.67K,
04/02/2026,72.21,74.21,70.24,73.02,771.33K,
04/01/2026,75.97,76.1,73.42,73.57,663.91K,
03/31/2026,74.37,75.21,72.06,74.89,816.65K,
03/30/2026,72.01,73.67,72.01,73.03,466.54K,
03/27/2026,74.86,75.08,72.03,72.13,635.68K,
03/26/2026,74.36,76.46,74.36,75.89,521.06K,
03/25/2026,74.91,75.65,74.18,75.11,511.54K,
03/24/2026,74.01,75.47,73.48,74.49,640.76K,
03/23/2026,76.48,78,74.48,74.73,726.97K,
03/20/2026,73.5,75,72.25,74.62,1.24M,
03/19/2026,70.32,73.83,70.32,73.54,586.63K,
03/18/2026,71.54,72.68,70.79,71.27,886.70K,
03/17/2026,71.72,73.31,70.93,71.94,533.84K,
03/16/2026,72.05,72.67,69.83,69.92,593.01K,
03/13/2026,72.2,73.02,70.86,71.53,581.85K,
03/12/2026,71.95,72.96,71.3,71.66,525.73K,
03/11/2026,72.73,74.14,72.02,74.09,600.63K,
03/10/2026,72.6,74,71.67,72.59,670.10K,
03/09/2026,70.47,72.91,69.44,72.46,614.50K,
03/06/2026,72.56,73.19,70.98,72.21,719.20K,
03/05/2026,74.19,75.54,74.19,75.22,533.38K,
03/04/2026,73.15,75.39,72.83,75.1,543.36K,
03/03/2026,69.94,73.55,69.14,72.73,451.56K,
03/02/2026,69.3,72.39,68.53,71.99,652.96K,
02/27/2026,76.5,76.51,70.37,70.86,1.08M,
02/26/2026,75.48,79.51,75,79.27,1.38M,
02/25/2026,72.47,73.33,71.28,73.19,492.04K,
02/24/2026,70.81,72.57,70.53,71.56,742.14K,
02/23/2026,75.11,75.33,70.38,70.84,658.42K,
02/20/2026,74.82,75.73,73.08,75.73,512.23K,
02/19/2026,73.79,75.06,73.07,75.01,768.98K,
02/18/2026,73,74.86,72.62,74.43,1.39M,
02/17/2026,72.75,74.04,72.05,73.16,748.14K,
02/13/2026,74.25,74.25,71.28,72.37,618.33K,
02/12/2026,76.83,78.03,71.71,72.27,890.82K,
02/11/2026,77.52,77.59,74.63,76.03,660.03K,
02/10/2026,77.66,78.71,75.9,77.11,839.11K,
02/09/2026,79.49,79.56,77.79,77.9,575.90K,
02/06/2026,78.79,79.93,77.94,79.53,765.01K,
02/05/2026,76.76,77.19,73.85,77.19,1.63M,
02/04/2026,75.84,77.59,75.76,76.5,920.02K,
02/03/2026,74.46,77.79,73.81,75.4,1.24M,
02/02/2026,72.98,73.81,71.8,73.05,902.08K,
01/30/2026,72.34,74.27,72.1,72.54,1.20M,
01/29/2026,70.61,73.64,70.5,73.03,1.70M,
01/28/2026,69.62,70.4,68.17,68.2,828.14K,
01/27/2026,69.95,70.01,68.07,69.45,786.41K,
01/26/2026,69.52,70.8,68.78,70.18,718.84K,
01/23/2026,70.24,70.74,68.57,68.78,643.79K,
01/22/2026,71.01,72.65,70.58,71.01,785.79K,
01/21/2026,70.26,71.38,69.91,70.49,493.72K,
01/20/2026,72.3,73.76,69.7,69.94,880.10K,
01/16/2026,71.89,74.17,71.89,73.73,1.52M,
01/15/2026,69.49,70.77,69.01,70.65,1.28M,
01/14/2026,69.56,69.86,67.78,69,1.60M,
01/13/2026,71.93,72.92,69.61,69.79,1.65M,
01/12/2026,72.08,73.8,70.06,71.78,2.40M,
01/09/2026,81.29,82.03,80,80.36,685.16K,
01/08/2026,80.5,81.49,80.06,81.25,695.42K,
01/07/2026,80.08,80.43,78.26,79.98,630.97K,
01/06/2026,76.6,80.4,76.52,80.26,1.14M,
01/05/2026,75.08,77.75,74.84,76.3,639.87K,
01/02/2026,74.2,75.8,73.78,75.3,677.86K,
12/31/2025,74.63,74.63,73.89,74.03,501.00K,
12/30/2025,75.32,75.32,74.34,74.61,379.36K,
12/29/2025,76.43,76.65,74.38,75.18,567.89K,
12/26/2025,76.39,76.98,76.01,76.64,307.10K,
12/24/2025,76.69,77.5,76.3,76.68,207.14K,
12/23/2025,77.82,78.05,76.47,76.61,536.25K,
12/22/2025,78.27,78.98,77.47,77.75,510.42K,
12/19/2025,76.93,78.04,76.86,78,1.46M,
12/18/2025,77.62,78.27,77.06,77.64,918.49K,
12/17/2025,76.21,76.64,75.4,76.34,956.26K,
12/16/2025,74.76,76.66,73.82,75.81,1.00M,
12/15/2025,74.51,75.07,74.19,74.35,682.52K,
12/12/2025,74.76,74.92,73.43,74.59,759.31K,
12/11/2025,74,75.83,73.64,74.36,1.00M,
12/10/2025,73.4,74.44,71.67,73.83,1.43M,
12/09/2025,72.12,73.73,71.85,73.46,607.01K,
12/08/2025,72.4,72.74,71.48,72.42,705.61K,
12/05/2025,71.74,72.71,71.05,72.21,559.67K,
12/04/2025,69.69,72.09,69.68,72,747.28K,
12/03/2025,69.55,71.66,69.31,71.24,711.73K,
12/02/2025,68.7,69.67,67.95,69.38,651.83K,
12/01/2025,67.22,68.85,66.73,68.07,654.22K,
11/28/2025,67.41,68.21,67.41,67.73,242.02K,
11/26/2025,66.77,68.71,66.72,67.46,1.09M,
11/25/2025,65.24,67.58,64.31,66.77,725.28K,
11/24/2025,64.47,65.46,63.78,65.08,853.57K,
11/21/2025,62.11,65.83,61.91,64.7,934.82K,
11/20/2025,62.97,64.59,61.53,61.67,849.14K,
11/19/2025,60.97,62.38,60.51,62.35,761.30K,
11/18/2025,59.42,61,59.26,60.54,886.63K,
11/17/2025,61.57,62.14,59.42,59.98,820.80K,
11/14/2025,61.88,62.57,60.76,61.93,719.83K,
11/13/2025,63.45,63.93,61.59,61.84,726.67K,
11/12/2025,63.26,64.74,63.24,63.96,549.87K,
11/11/2025,63.53,64.18,63.33,63.46,421.12K,
11/10/2025,64.2,64.63,63.6,63.76,652.21K,
11/07/2025,63.3,63.61,62.19,63.58,829.09K,
11/06/2025,64.02,64.59,63.27,63.86,667.62K,
11/05/2025,62.66,64.54,61.75,63.95,660.14K,
11/04/2025,62.81,63.67,62.49,62.58,607.92K,
11/03/2025,62.53,64,61.96,63.6,745.85K,
10/31/2025,61.99,63.82,61.58,62.65,905.81K,
10/30/2025,61.82,63.12,61.73,61.91,935.35K,
10/29/2025,64.35,64.8,61.38,62.21,930.97K,
10/28/2025,66.54,66.71,64.62,64.94,885.38K,
10/27/2025,66.28,67.04,65.52,66.26,519.82K,
10/24/2025,66.46,66.83,64.71,65.5,846.68K,
10/23/2025,62.29,66.15,59.92,65.46,2.36M,
10/22/2025,60.99,61.59,59.83,60.54,741.89K,
10/21/2025,59.9,61.1,59.89,60.93,455.49K,
10/20/2025,59.18,60.46,59.16,59.93,601.29K,
10/17/2025,58.29,59.53,58.17,59.03,832.01K,
10/16/2025,59.79,59.79,57.11,57.61,836.47K,
10/15/2025,59.72,60.24,59.22,59.75,805.39K,
10/14/2025,55.8,59.28,55.8,59.24,1.11M,
10/13/2025,54.89,56.51,54.89,56.42,684.85K,
10/10/2025,56.06,56.27,53.83,54.08,839.15K,
10/09/2025,55.48,55.97,54.75,55.81,426.01K,
10/08/2025,55.91,55.91,54.88,55.02,319.20K,
10/07/2025,55.01,55.75,54.94,55.42,600.97K,
10/06/2025,55.76,56.54,54.24,54.77,699.42K,
10/03/2025,55.05,56.49,55.05,55.71,746.27K,
10/02/2025,54.91,55.35,54.31,55.14,726.55K,
10/01/2025,54.98,55.91,54.53,54.89,880.55K,
09/30/2025,58.07,58.4,55.28,55.77,835.86K,
09/29/2025,59.72,59.98,57.01,58.07,1.29M,
09/26/2025,60.16,60.49,58.9,59.59,518.21K,
09/25/2025,60.12,60.49,59.49,60.06,595.52K,
09/24/2025,61.1,61.81,60.5,60.71,520.65K,
09/23/2025,63.01,63.88,61,61.05,704.64K,
09/22/2025,63.07,63.29,62.12,62.63,744.02K,
09/19/2025,64,64.12,63.05,63.46,1.30M,
09/18/2025,62.22,64.32,61.97,64.06,581.95K,
09/17/2025,63.19,64.47,61.4,61.82,872.46K,
09/16/2025,63.84,63.94,62.43,62.99,605.74K,
09/15/2025,63.25,64.65,62.9,63.88,503.57K,
09/12/2025,63.48,63.56,62.57,63.18,616.18K,
